"id","provaId","numero","materia","assunto","conhecimentoExigido","gabarito","nivelDificuldade","observacoes","areaBloco","enunciado"
"cmpek5dkk000258nb1t1pp6sc","cmpeipc46000056pdr2h72jrw",3,"Língua Portuguesa","Análise de discurso","Identificar como expressões em negrito contribuem para a construção do sentido do texto.","C","media",NULL,"Linguagens, Códigos e suas Tecnologias",NULL
"cmpek5dkk000358nb4ihz8o8x","cmpeipc46000056pdr2h72jrw",4,"Língua Portuguesa","Estilo e registro","Analisar o uso da língua em um texto promocional sobre cultura pop.","A","media",NULL,"Linguagens, Códigos e suas Tecnologias",NULL
"cmpek5dkk001758nbw61mvmw7","cmpeipc46000056pdr2h72jrw",45,"Química","Processo Kraft de obtenção de celulose","Entender o processo químico de obtenção de celulose e a função dos reagentes.","D","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001858nbe7i4jd1h","cmpeipc46000056pdr2h72jrw",46,"Geografia","Geopolítica da Groenlândia","Analisar a importância geoestratégica da Groenlândia em relação aos recursos naturais.","A","media",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek5dkk001958nbtlpv6cb5","cmpeipc46000056pdr2h72jrw",47,"Geografia","Teorias de Deriva Continental e Tectônica de Placas","Compreender as teorias sobre a movimentação da crosta terrestre e suas implicações.","D","dificil",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek5dkk001a58nbfmig4qi2","cmpeipc46000056pdr2h72jrw",48,"Geografia","Meio técnico-científico informacional","Analisar a organização do espaço geográfico sob a influência do capital e da tecnologia.","C","media",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek5dkk001b58nbdls73glf","cmpeipc46000056pdr2h72jrw",49,"História","Trabalho análogo à escravidão no Brasil","Compreender as características e a realidade do trabalho análogo à escravidão no Brasil.","D","media",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek5dkk001d58nb01vxw827","cmpeipc46000056pdr2h72jrw",51,"História","Sociedade de consumo","Analisar o fenômeno do consumismo e suas implicações sociais e culturais.","C","media",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek5dkk001e58nb2ffumf47","cmpeipc46000056pdr2h72jrw",52,"História","Testemunhos da Segunda Guerra Mundial","Compreender a desumanização e a perda de identidade nos campos de concentração nazistas.","C","dificil",NULL,"Ciências Humanas e suas Tecnologias",NULL
"cmpek8b70001s58nbh1m4lyr9","cmpeipc46000056pdr2h72jrw",53,"História","Império Português","Compreender a concepção de unidade política no Império Português dos séculos XVI a XVIII.","A","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001f58nba9rjyxqj","cmpeipc46000056pdr2h72jrw",54,"História","Teoria Marxista","Compreender a noção de acumulação primitiva de capital na teoria marxista.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001g58nbtkpd29q3","cmpeipc46000056pdr2h72jrw",55,"História","Revolução Francesa","Analisar o conceito de Antigo Regime e suas implicações na Revolução Francesa.","A","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001h58nbl1dx9kr8","cmpeipc46000056pdr2h72jrw",56,"Filosofia","Ideias Inatas e Adventícias","Identificar exemplos de ideias inatas, adventícias e fictícias segundo Descartes.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001i58nb1w0cbszx","cmpeipc46000056pdr2h72jrw",57,"Filosofia","Origem da Filosofia","Compreender a origem da filosofia na Grécia e sua relação com o mito.","C","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001j58nbf1nq21r5","cmpeipc46000056pdr2h72jrw",58,"Filosofia","Teoria da Iluminação","Entender a teoria da iluminação de Santo Agostinho e a luz divina.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001k58nbalndhfl3","cmpeipc46000056pdr2h72jrw",59,"Filosofia","Ética e Senciência","Analisar a filosofia de Peter Singer sobre a consideração do sofrimento.","D","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001l58nbv6qrgany","cmpeipc46000056pdr2h72jrw",60,"Filosofia","Pensamento Foucaultiano","Compreender o método genealógico de Foucault e sua análise da sexualidade.","C","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001m58nbqlo0vbf2","cmpeipc46000056pdr2h72jrw",61,"Sociologia","Identidade Indígena","Analisar a discriminação e a cidadania dos indígenas na sociedade brasileira.","D","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001n58nbsofcedex","cmpeipc46000056pdr2h72jrw",62,"Sociologia","Fascismo","Compreender as características do fascismo e sua relação com a democracia burguesa.","D","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001o58nb2j7cfcu4","cmpeipc46000056pdr2h72jrw",63,"Sociologia","Violência e Desenvolvimento","Analisar a relação entre desenvolvimento econômico e taxas de mortalidade violenta.","B","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001p58nb4vv61qnz","cmpeipc46000056pdr2h72jrw",64,"Sociologia","Cidadania","Compreender os três elementos do conceito de cidadania segundo T. H. Marshall.","A","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk001q58nbfaccpr1p","cmpeipc46000056pdr2h72jrw",65,"Sociologia","Gênero e identidade de gênero","Compreender as diferenças entre os conceitos de cisgênero, transgênero, gênero fluido e agênero.","C","media",NULL,"Ciências Humanas",NULL
"cmpek5dkk000058nb8ixz33yw","cmpeipc46000056pdr2h72jrw",1,"Português","Interpretação de texto","Analisar e interpretar o texto para identificar o direcionamento argumentativo.","B","media","Texto-base em português (literatura/interpretação).","Linguagens e Códigos","A articulação de diferentes perspectivas ao longo do texto permite inferir um direcionamento argumentativo que busca"
"cmpek5dkk000f58nbjc1v76lk","cmpeipc46000056pdr2h72jrw",16,"Inglês","compreensão de texto em inglês","O estudante precisa preencher lacunas em um texto em inglês com as palavras mais adequadas.","D","media",NULL,NULL,"In 1799 — about a year into Napoleon Bonaparte’s occupation of Egypt — French engineers doing demolition work in the delta town of El-Rashid made a remarkable find."
"cmpek5dkk001358nbr0fj7ih7","cmpeipc46000056pdr2h72jrw",40,"Física","Ciclo de vida de estrelas","Compreender os processos envolvidos no ciclo de vida de estrelas.","B","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001458nbuenk4he5","cmpeipc46000056pdr2h72jrw",41,"Química","Intoxicações e metais pesados","Relacionar a toxicidade do mercúrio com eventos de contaminação.","C","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001558nb7sc7ub6y","cmpeipc46000056pdr2h72jrw",42,"Química","Reações químicas e estequiometria","Calcular a massa de um produto formado em uma reação química.","A","dificil",NULL,"Ciências da Natureza",NULL
"cmpek7bms001r58nbxej2qd33","cmpeipc46000056pdr2h72jrw",43,"Química","Alotropia do carbono","Compreender as diferenças estruturais e de hibridação entre os alótropos do carbono, como diamante e grafite.","C","media",NULL,"Ciências da Natureza",NULL
"cmpek5dkk001658nboxo2w6q5","cmpeipc46000056pdr2h72jrw",44,"Química","Eletrolíticos e suas consequências","Compreender os efeitos do consumo excessivo de sódio no organismo humano.","C","media",NULL,"Ciências da Natureza",NULL
